username,realname,sex,birthyear,birthmonth
101,stu101,female,1999,7
102,stu102,female,1998,10
103,stu103,female,1999,5
104,stu104,female,1999,5
105,stu105,female,1999,4
106,stu106,female,1998,8
107,stu107,female,1999,1
108,stu108,female,1998,12
109,stu109,female,1999,3
110,stu110,female,1999,3
111,stu111,female,1999,10
112,stu112,female,1999,3
113,stu113,female,1999,4
114,stu114,female,1999,3
115,stu115,female,1999,4
116,stu116,female,1999,9
117,stu117,female,1999,3
118,stu118,female,1999,3
119,stu119,female,1999,2
120,stu120,male,1999,4
122,stu122,male,1998,11
123,stu123,male,1999,1
124,stu124,male,1999,7
125,stu125,male,1999,5
126,stu126,male,1998,10
127,stu127,male,1999,5
128,stu128,male,1998,10
129,stu129,male,1999,6
130,stu130,male,1999,7
131,stu131,male,1998,10
132,stu132,male,1999,7
133,stu133,male,1998,10
134,stu134,male,1999,1
135,stu135,male,1999,6
136,stu136,male,1999,8
137,stu137,male,1999,7
138,stu138,male,1998,10
139,stu139,male,1998,12
140,stu140,male,1999,3
